absolut,absolutte
adskillig,adskillige
afgørende,afgørende
afhængig,afhængige
aktiv,aktive
al,alle
aktuel,aktuelle
almindelig,almindelige
alvorlig,alvorlige
amerikansk,amerikanske
anderledes,anderledes
bange,bange
bekendt,bekendte
berømt,berømte
bestemt,bestemte
betydelig,betydelige
bevidst,bevidst
billig,billige
blød,bløde
blå,blå
borgerlig,borgerlige
bred,brede
brun,brune
britisk,britiske
central,centrale
daglig,daglige
dansk,danske
dejlig,dejlige
demokratisk,demokratiske
direkte,direkte
dobbelt,dobbelte
dyb,dybe
dygtig,dygtige
dyr,dyre
død,døde
dårlig,dårlige
effektiv,effektive
egen,egne
egentlig,egentlige
ekstra,ekstra
endelig,endelige
ene,-
enest,enest
engelsk,engelske
enig,enige
enkel,enkle
enkelt,enkelte
enorm,enorme
europæisk,europæiske
eventuel,eventuelle
evig,evige
fantastisk,fantastiske
farlig,farlige
fast,fast
fattig,fattige
fin,fine
flot,flotte
foreløbig,foreløbige
forkert,forkerte
fornuftig,fornuftige
forsigtig,forsigtige
forskellig,forskellige
fransk,franske
fremmed,fremmede
fri,frie
frisk,friske
frivillig,frivillige
fuld,fulde
fuldstændig,fuldstændige
fysisk,fysiske
fælles,fælles
færdig,færdige
først,først
-,få
gal,gale
gammel,gamle
generel,generelle
gift,gifte
glad,glade
god,gode
gratis,gratis
grov,grove
grundig,grundige
grøn,grønne
grå,grå
gul,gule
halv,halve
hel,hele
hellig,hellige
historisk,historiske
hurtig,hurtige
hvid,hvide
høj,høje
hård,hårde
interessant,interessante
international,internationale
italiensk,italienske
japansk,japanske
kendt,kendte
klar,klare
klassisk,klassiske
klog,kloge
kold,kolde
kommunal,kommunale
kongelig,kongelige
konkret,konkrete
konservativ,konservative
kort,korte
kraftig,kraftige
kulturel,kulturelle
kvindelig,kvindelige
lang,lange
langsom,langsomme
lav,lave
let,lette
levende,levende
lilla,lilla
lille,små
lokal,lokale
lykkelig,lykkelige
løs,løse
-,mange
menneskelig,menneskelige
militær,militære
moderne,moderne
modsat,modsatte
mulig,mulige
mærkelig,mærkelige
mørk,mørke
national,nationale
naturlig,naturlige
nem,nemme
nordisk,nordiske
normal,normale
norsk,norske
nuværende,nuværende
ny,nye
nylig,nylige
nær,nære
næst,næst
nødvendig,nødvendige
offentlig,offentlige
officiel,officielle
omfattende,omfattende
ond,onde
opmærksom,opmærksomme
oprindelig,oprindelige
orange,orange
ordentlig,ordentlige
parat,parate
personlig,personlige
pink,pink
politisk,politiske
populær,populære
positiv,positive
praktisk,praktiske
privat,private
professionel,professionelle
psykisk,psykiske
pæn,pæne
pågældende,pågældende
radikal,radikale
rar,rare
reel,reelle
ren,rene
rig,rige
rigtig,rigtige
rimelig,rimelige
rolig,rolige
russisk,russiske
rød,røde
samme,samme
-,samtlige
sand,sande
seksuel,seksuelle
selve,selve
selvstændig,selvstændige
sen,sene
sikker,sikre
simpel,simple
sjov,sjove
sjælden,sjældne
skarp,skarpe
slem,slemme
smuk,smukke
social,sociale
sort,sorte
speciel,specielle
spændende,spændende
stor,store
stærk,stærke
sund,sunde
svag,svage
svensk,svenske
svær,svære
syg,syge
særlig,særlige
sød,søde
sådan,sådanne
såkaldt,såkaldte
teknisk,tekniske
tidlig,tidlige
tilfreds,tilfredse
tilstrækkelig,tilstrækkelige
tilsvarende,tilsvarende
tilsyneladende,tilsyneladende
tom,tomme
total,totale
traditionel,traditionelle
travl,travle
træt,trætte
tung,tunge
tydelig,tydelige
tyk,tykke
tynd,tynde
typisk,typiske
tysk,tyske
tæt,tætte
tør,tørre
udenlandsk,udenlandske
udmærket,udmærkede
ukendt,ukendte
umiddelbar,umiddelbare
umulig,umulige
ung,unge
usædvanlig,usædvanlige
utrolig,utrolige
vanskelig,vanskelige
varm,varme
velkommen,velkomne
venlig,venlige
vestlig,vestlige
vigtig,vigtige
vild,vilde
violet,violette
virkelig,virkelige
vis,vise
voksen,voksne
voldsom,voldsomme
vred,vrede
værd,værd
væsentlig,væsentlige
yderlig,yderlige
ægte,ægte
økonomisk,økonomiske
øvrig,øvrige
åben,åbne
åbenbar,åbenbare
årlig,årlige
